Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
602074746;602074746;Hors-service;;;;;48.079993,-1.735309;
415603825;415603825;En ligne;0054;54;0;;48.109863,-1.67996;-115
604878820;604878820;Hors-service;;;;;48.079357,-1.734754;
601473873;601473873;Hors-service;;;;;48.079354,-1.734593;
414201788;414201788;Hors-service;;;;;48.096719,-1.624997;
603677074;603677074;Hors-service;;;;;48.07936,-1.734674;
417406444;417406444;Hors-service;;;;;48.096393,-1.625951;
413600915;413600915;Hors-service;;;;;48.1472,-1.705077;
603476783;603476783;Hors-service;;;;;48.079438,-1.73499;
416605280;416605280;En ligne;0064;64;1;;48.109862,-1.679744;-551
412599460;412599460;Hors-service;;;;;48.147272,-1.706431;
603076201;603076201;Hors-service;;;;;48.079755,-1.734265;
416004407;416004407;En ligne;0077;77;1;;48.160472,-1.768037;0
412399169;412399169;Hors-service;;;;;48.147197,-1.705158;
602875910;602875910;Hors-service;;;;;48.079912,-1.735073;
414602370;414602370;Hors-service;;;;;48.146798,-1.706106;
410195968;410195968;Hors-service;;;;;48.147356,-1.705226;
602675619;602675619;Hors-service;;;;;48.079438,-1.733631;
414001497;414001497;En ligne;0055;55;1;;48.078603,-1.834455;114
409595095;409595095;En ligne;0078;78;0;;48.144576,-1.691765;-47
602475328;602475328;Hors-service;;;;;48.079435,-1.734829;
412799751;412799751;En ligne;0068;68;0;;48.130205,-1.692266;-7
409394804;409394804;Hors-service;;;;;48.146952,-1.705877;
601874455;601874455;Hors-service;;;;;48.07976,-1.734589;
412198878;412198878;En ligne;0052;52;1;;48.120498,-1.709618;-99
408593640;408593640;Hors-service;;;;;48.096795,-1.624909;
601674164;601674164;Hors-service;;;;;48.079597,-1.735072;
411197423;411197423;En ligne;0062;62;1;;48.038477,-1.602511;0
408193058;408193058;En ligne;0065;65;1;;48.138287,-1.770922;18
601273582;601273582;Hors-service;;;;;48.07968,-1.735469;
407792476;407792476;Hors-service;;;;;48.096876,-1.626275;
407391894;407391894;Hors-service;;;;;48.096714,-1.626275;
417807026;417807026;En ligne;0062;62;1;;48.082397,-1.639617;-85
406791021;406791021;Hors-service;;;;;48.146875,-1.706665;
406390439;406390439;Hors-service;;;;;48.09712,-1.62627;
417206153;417206153;Hors-service;;;;;48.053913,-1.720267;
406190148;406190148;Hors-service;;;;;48.147437,-1.705233;
405989857;405989857;Hors-service;;;;;48.146875,-1.706665;
416805571;416805571;Hors-service;;;;;48.096637,-1.625945;
405388984;405388984;Hors-service;;;;;48.096641,-1.625394;
405789566;405789566;Hors-service;;;;;48.096876,-1.626275;
415002952;415002952;En ligne;0064;64;1;;48.137088,-1.526704;-140
405188693;405188693;Hors-service;;;;;48.1472,-1.705306;
404988402;404988402;Hors-service;;;;;48.147356,-1.705468;
414402079;414402079;En ligne;0054;54;0;;48.099245,-1.790652;150
402184328;402184328;Hors-service;;;;;48.147439,-1.705867;
404788111;404788111;Hors-service;;;;;48.096235,-1.625627;
413200333;413200333;Hors-service;;;;;48.147434,-1.705314;
401583455;401583455;En ligne;0082;82;1;;48.270474,-1.85322;-126
404187238;404187238;Hors-service;;;;;48.147199,-1.705549;
411998587;411998587;En ligne;0071;71;0;;48.151262,-1.654979;-21
401182873;401182873;Hors-service;;;;;48.096795,-1.626268;
402985492;402985492;Hors-service;;;;;48.147518,-1.705227;
411798296;411798296;Hors-service;;;;;48.147034,-1.705628;
400982582;400982582;Hors-service;;;;;48.096159,-1.625715;
402785201;402785201;Hors-service;;;;;48.096075,-1.62603;
410997132;410997132;En ligne;0052;52;0;;48.126353,-1.693014;64
400782291;400782291;Hors-service;;;;;48.09712,-1.62627;
402584910;402584910;Hors-service;;;;;48.096714,-1.626275;
410596550;410596550;Hors-service;;;;;48.096795,-1.626268;
192679942;192679942;Hors-service;;;;;48.111193,-1.643627;
401984037;401984037;Hors-service;;;;;48.096954,-1.62499;
409795386;409795386;Hors-service;;;;;48.096795,-1.626268;
192479651;192479651;Hors-service;0006;C6;1;;48.114232,-1.613312;
401383164;401383164;Hors-service;;;;;48.147356,-1.705226;
409194513;409194513;En ligne;0055;55;0;;48.105369,-1.734865;-100
191678487;191678487;En ligne;0006;C6;1;;48.110087,-1.656102;-35
192279360;192279360;Hors-service;;;;;48.110237,-1.643395;
408994222;408994222;Hors-service;;;;;48.096075,-1.625788;
191077614;191077614;Hors-service;;;;;48.063913,-1.699951;
192079069;192079069;En ligne;0001;C1;1;;48.090999,-1.625586;-10
408393349;408393349;En ligne;0075;75;1;;48.040413,-1.546724;-221
190677032;190677032;Hors-service;;;;;48.064318,-1.701076;
191478196;191478196;Hors-service;;;;;48.063916,-1.699871;
407992767;407992767;En ligne;0082;82;0;;48.175247,-1.846749;23
121576637;121576637;Hors-service;;;;;48.111195,-1.643789;
190877323;190877323;Hors-service;;;;;48.065038,-1.702916;
407592185;407592185;En ligne;0073;73;1;;48.043955,-1.601442;191
122377801;122377801;Hors-service;;;;;48.110319,-1.641545;
121376346;121376346;Hors-service;;;;;48.110638,-1.643067;
407191603;407191603;Hors-service;;;;;48.146952,-1.705635;
140203700;140203700;En ligne;0005;C5;1;;48.08416,-1.692038;0
121977219;121977219;Hors-service;;;;;48.11,-1.641867;
406991312;406991312;Hors-service;;;;;48.147437,-1.705233;
190076159;190076159;Hors-service;;;;;48.064875,-1.703385;
122578092;122578092;Hors-service;;;;;48.063675,-1.701154;
405589275;405589275;Hors-service;;;;;48.097039,-1.626276;
189875868;189875868;Hors-service;;;;;48.064632,-1.703149;
142006319;142006319;En ligne;0002;C2;1;;48.09632,-1.636992;0
402384619;402384619;Hors-service;;;;;48.097039,-1.626276;
189675577;189675577;Hors-service;;;;;48.064719,-1.702107;
100946664;100946664;Hors-service;;;;;48.110876,-1.644353;
401783746;401783746;Hors-service;;;;;48.096638,-1.625232;
189274995;189274995;Hors-service;;;;;48.064232,-1.700517;
189475286;189475286;Hors-service;;;;;48.064396,-1.702509;
191878778;191878778;En ligne;0002;C2;0;;48.109862,-1.678842;-264
188874413;188874413;Hors-service;;;;;48.064798,-1.702827;
189074704;189074704;Hors-service;;;;;48.064239,-1.700585;
191277905;191277905;Hors-service;;;;;48.063997,-1.699878;
188273540;188273540;Hors-service;;;;;48.064313,-1.700753;
188674122;188674122;Hors-service;;;;;48.064316,-1.700673;
190476741;190476741;Hors-service;;;;;48.064235,-1.700908;
188073249;188073249;Hors-service;;;;;48.0644,-1.700828;
188473831;188473831;Hors-service;;;;;48.064237,-1.701069;
120975764;120975764;Hors-service;;;;;48.109677,-1.64091;
187872958;187872958;Hors-service;;;;;48.064397,-1.700909;
187672667;187672667;Hors-service;;;;;48.10952,-1.641475;
121776928;121776928;Hors-service;;;;;48.109916,-1.641954;
187071794;187071794;Hors-service;;;;;48.063914,-1.700355;
187272085;187272085;Hors-service;;;;;48.064798,-1.702827;
122177510;122177510;Hors-service;;;;;48.109995,-1.642916;
186871503;186871503;Hors-service;;;;;48.06392,-1.700436;
186671212;186671212;Hors-service;;;;;48.064555,-1.70259;
122778383;122778383;Hors-service;;;;;48.063675,-1.701154;
186070339;186070339;Hors-service;;;;;48.064552,-1.702671;
186270630;186270630;Hors-service;;;;;48.064158,-1.702595;
122978674;122978674;Hors-service;;;;;48.063678,-1.701073;
185870048;185870048;Hors-service;;;;;48.064873,-1.702753;
184868593;184868593;Hors-service;;;;;48.064156,-1.701076;
